datum	nev	helyszin
1983.03.27	USA	USA
1955.06.19	Holland	Hollandia
1975.08.03	N?met	N?metorsz?g
2003.04.06	Brazil	Braz?lia
1968.07.20	Brit	Nagy-Britannia
1980.07.13	Brit	Nagy-Britannia
1993.04.25	San Marinoi	San Marino
1978.08.27	Holland	Hollandia
1977.06.05	Belga	Belgium
1984.06.24	USA	USA
1994.05.29	Spanyol	Spanyolorsz?g
1977.01.23	Brazil	Braz?lia
1974.03.30	D?l-Afrikai	D?l-Afrika
1988.07.24	N?met	N?metorsz?g
1979.09.09	Olasz	Olaszorsz?g
1994.07.10	Brit	Nagy-Britannia
1961.10.08	USA	USA
1998.07.12	Brit	Nagy-Britannia
1992.07.26	N?met	N?metorsz?g
1984.10.07	Eur?pa	N?metorsz?g
1990.10.21	Jap?n	Jap?n
1950.07.02	Francia	Franciaorsz?g
1999.04.11	Brazil	Braz?lia
1968.09.22	Kanadai	Kanada
1956.05.13	Monacoi	Monaco
1965.10.03	USA	USA
1985.07.21	Brit	Nagy-Britannia
1964.06.14	Belga	Belgium
1979.04.08	USA	USA
1978.03.04	D?l-Afrikai	D?l-Afrika
1969.09.07	Olasz	Olaszorsz?g
1994.11.13	Ausztr?l	Ausztr?lia
1976.10.24	Jap?n	Jap?n
2002.03.03	Ausztr?l	Ausztr?lia
1967.06.18	Belga	Belgium
1961.07.02	Francia	Franciaorsz?g
1995.10.22	Jap?n	Jap?n
1992.07.12	Brit	Nagy-Britannia
1966.10.02	USA	USA
1971.07.17	Brit	Nagy-Britannia
1988.08.28	Belga	Belgium
1995.07.16	Brit	Nagy-Britannia
1983.05.15	Monacoi	Monaco
1993.03.28	Brazil	Braz?lia
1999.08.29	Belga	Belgium
1991.09.22	Portug?l	Portug?lia
1992.05.17	San Marinoi	San Marino
1984.06.17	Kanadai	Kanada
2001.04.15	San Marinoi	San Marino
2002.06.23	Eur?pa	N?metorsz?g
1951.07.01	Francia	Franciaorsz?g
1975.03.01	D?l-Afrikai	D?l-Afrika
1956.08.05	N?met	N?metorsz?g
1963.06.23	Holland	Hollandia
1967.07.02	Francia	Franciaorsz?g
1953.09.13	Olasz	Olaszorsz?g
1976.03.06	D?l-Afrikai	D?l-Afrika
1996.06.16	Kanadai	Kanada
1997.10.26	Eur?pa	Spanyolorsz?g
1991.06.02	Kanadai	Kanada
1973.08.19	Osztr?k	Ausztria
2004.10.24	Brazil	Braz?lia
1951.09.16	Olasz	Olaszorsz?g
1984.05.06	San Marinoi	San Marino
